agent_code,total_policies,avg_policies,nill_rate,avg_ANBP,avg_income,avg_customers,avg_proposals,active_months,cluster,performance_group,recommendation,PCA1,PCA2,is_nill
003c1999,475,22.61904761904762,0.09523809523809523,1312486.619047619,294171.0,16.095238095238095,19.095238095238095,21,2,High,"Retention incentives, high-value leads",2.0729674503837145,0.9295633011451541,False
00d5bda3,419,19.952380952380953,0.23809523809523808,903914.6666666666,217193.19047619047,15.380952380952381,19.428571428571427,21,2,High,"Retention incentives, high-value leads",-0.5584289786769828,1.0517868078466743,False
012a3553,389,18.523809523809526,0.14285714285714285,1022751.0952380953,226764.47619047618,15.761904761904763,16.904761904761905,21,2,High,"Retention incentives, high-value leads",-0.6787623599299941,0.6140244149402505,False
012f0e15,409,19.476190476190474,0.14285714285714285,873306.9523809524,226039.33333333334,15.666666666666666,17.523809523809526,21,2,High,"Retention incentives, high-value leads",-0.6730824441815656,0.8033345277234087,False
0177ed5f,442,21.047619047619047,0.047619047619047616,1021177.4761904762,219554.61904761905,15.19047619047619,16.238095238095237,21,2,High,"Retention incentives, high-value leads",0.022544598510837937,0.7076721352840023,False
01a4ff82,422,20.095238095238095,0.0,974233.380952381,188198.09523809524,16.285714285714285,14.952380952380953,21,2,High,"Retention incentives, high-value leads",-0.5812234544291078,0.6019486869112729,False
01b0edf6,82,16.4,0.0,777802.8,169586.0,14.4,11.2,5,0,Mid,"Targeted training, quote-to-sale improvement",-3.0614223692452196,-3.3255323646952912,False
01c0860d,189,18.9,0.1,1394000.0,269924.7,15.4,16.4,10,1,Low,"Mentoring, onboarding refreshers",0.44571701965269633,-2.0875411333805434,False
01c63d8e,456,21.714285714285715,0.09523809523809523,1234509.6666666667,294671.0,16.19047619047619,19.571428571428573,21,2,High,"Retention incentives, high-value leads",1.8182406290406865,0.8877069715910165,False
01cf7b40,411,21.63157894736842,0.10526315789473684,1235322.8421052631,265750.4736842105,15.052631578947368,18.68421052631579,19,2,High,"Retention incentives, high-value leads",1.2489977804268635,0.3402050863044479,False
026b60ee,422,20.095238095238095,0.14285714285714285,1271295.4285714286,274363.71428571426,15.952380952380953,18.761904761904763,21,2,High,"Retention incentives, high-value leads",1.0029728657653014,0.7294058320860326,False
026ffb43,421,20.047619047619047,0.047619047619047616,750192.6666666666,160148.52380952382,14.666666666666666,17.0,21,2,High,"Retention incentives, high-value leads",-1.1255365784165372,0.7760249463160397,False
0279d0a7,446,21.238095238095237,0.14285714285714285,927026.8095238095,251997.38095238095,16.714285714285715,20.333333333333332,21,2,High,"Retention incentives, high-value leads",0.6933885339622838,1.1401059326713117,False
03216cb4,348,16.571428571428573,0.14285714285714285,875647.0,210136.38095238095,15.428571428571429,14.523809523809524,21,0,Mid,"Targeted training, quote-to-sale improvement",-2.090154359097576,0.3473521183505637,False
0330163d,164,23.428571428571427,0.0,927872.2857142857,200944.57142857142,16.571428571428573,17.285714285714285,7,1,Low,"Mentoring, onboarding refreshers",0.39331295704446473,-2.351174300002182,False
041aede5,463,22.047619047619047,0.0,1142673.7142857143,215006.2857142857,15.428571428571429,17.761904761904763,21,2,High,"Retention incentives, high-value leads",1.0011369541540265,0.7935663490600027,False
0439a5fc,390,18.571428571428573,0.19047619047619047,998932.6666666666,247730.2380952381,17.285714285714285,18.19047619047619,21,2,High,"Retention incentives, high-value leads",-0.39698364748740833,0.8231349771647389,False
046d7894,424,20.19047619047619,0.09523809523809523,1152409.857142857,231863.38095238095,16.476190476190474,17.19047619047619,21,2,High,"Retention incentives, high-value leads",0.29251149992874814,0.7332957113264836,False
04cd94ce,414,19.714285714285715,0.09523809523809523,918144.1904761905,184254.19047619047,15.333333333333334,15.523809523809524,21,2,High,"Retention incentives, high-value leads",-1.1201514265902657,0.6829581691253848,False
04f897f5,392,18.666666666666668,0.09523809523809523,884098.1904761905,174651.7142857143,15.571428571428571,15.476190476190476,21,0,Mid,"Targeted training, quote-to-sale improvement",-1.5000104821927798,0.6040838177941928,False
0522b331,427,20.333333333333332,0.09523809523809523,992703.4761904762,198813.80952380953,13.0,16.761904761904763,21,2,High,"Retention incentives, high-value leads",-0.5367049545756966,0.6154295460420331,False
05339eaf,179,19.88888888888889,0.1111111111111111,1113430.6666666667,264035.3333333333,15.666666666666666,15.11111111111111,9,0,Mid,"Targeted training, quote-to-sale improvement",-0.3385447513842108,-2.1702619502649996,False
057dd1b3,363,17.285714285714285,0.14285714285714285,920340.0,200454.90476190476,15.571428571428571,17.19047619047619,21,0,Mid,"Targeted training, quote-to-sale improvement",-1.330994700600633,0.5491171928682964,False
0599fb2d,494,23.523809523809526,0.047619047619047616,1489259.2857142857,292060.38095238095,15.80952380952381,19.761904761904763,21,2,High,"Retention incentives, high-value leads",2.962304694653649,0.9082153709802361,False
05cb3b30,339,18.833333333333332,0.2222222222222222,1057943.8333333333,281252.77777777775,17.0,20.333333333333332,18,2,High,"Retention incentives, high-value leads",0.3412490065318706,0.24820364224730476,False
068c4b6c,417,19.857142857142858,0.09523809523809523,985250.5238095238,213299.80952380953,13.619047619047619,17.333333333333332,21,2,High,"Retention incentives, high-value leads",-0.38757876449400497,0.6135906542319525,False
06acbf85,372,17.714285714285715,0.19047619047619047,1077730.4761904762,290736.61904761905,16.904761904761905,17.80952380952381,21,2,High,"Retention incentives, high-value leads",-0.16069817627841534,0.6061184138183909,False
06dfa6a3,500,23.80952380952381,0.0,1250754.7142857143,266560.6666666667,16.0,19.142857142857142,21,2,High,"Retention incentives, high-value leads",2.363416225474266,0.9848241520410896,False
071a8882,454,21.61904761904762,0.047619047619047616,1167043.380952381,233988.57142857142,16.19047619047619,18.0,21,2,High,"Retention incentives, high-value leads",1.0078473230710363,0.8375803195392395,False
071c1880,411,19.571428571428573,0.09523809523809523,1168052.9523809524,280782.04761904763,14.904761904761905,17.38095238095238,21,2,High,"Retention incentives, high-value leads",0.5636937381738983,0.513277070018075,False
084c02de,473,22.523809523809526,0.0,861008.0476190476,183967.19047619047,15.142857142857142,17.19047619047619,21,2,High,"Retention incentives, high-value leads",0.10182279718334918,0.9523847923355964,False
0879757d,398,18.952380952380953,0.23809523809523808,958455.8095238095,214074.57142857142,12.952380952380953,18.904761904761905,21,2,High,"Retention incentives, high-value leads",-0.9008883908065226,0.7470508643189756,False
087ef587,476,22.666666666666668,0.0,903520.2857142857,163036.95238095237,15.952380952380953,17.523809523809526,21,2,High,"Retention incentives, high-value leads",0.1625476602064219,1.0403289517281995,False
08a278cd,273,21.0,0.07692307692307693,1054547.8461538462,254815.46153846153,17.46153846153846,16.384615384615383,13,2,High,"Retention incentives, high-value leads",0.24711672788171798,-1.0291745940786012,False
08d93405,462,22.0,0.047619047619047616,1212201.238095238,237903.42857142858,15.80952380952381,18.047619047619047,21,2,High,"Retention incentives, high-value leads",1.2146911562265261,0.8354917000552138,False
08dd9dac,483,23.0,0.047619047619047616,1232022.7142857143,269044.85714285716,17.047619047619047,18.857142857142858,21,2,High,"Retention incentives, high-value leads",1.9578067086944833,1.0168997142933451,False
096ab135,443,21.095238095238095,0.047619047619047616,870431.2380952381,176364.80952380953,16.523809523809526,17.428571428571427,21,2,High,"Retention incentives, high-value leads",-0.33075456536810405,0.9602621889856245,False
09b8e785,426,20.285714285714285,0.047619047619047616,950526.0476190476,202192.2857142857,16.095238095238095,15.666666666666666,21,2,High,"Retention incentives, high-value leads",-0.523141415919302,0.7020507324098287,False
0a14b2af,219,19.90909090909091,0.0,1158017.9090909092,220233.9090909091,14.181818181818182,15.272727272727273,11,1,Low,"Mentoring, onboarding refreshers",-0.1417547909484876,-1.9194641486089068,False
0a318094,329,15.666666666666666,0.19047619047619047,902222.7619047619,244104.19047619047,14.047619047619047,14.428571428571429,21,0,Mid,"Targeted training, quote-to-sale improvement",-2.2251308552398092,0.17188888650842116,False
0a37f9af,187,15.583333333333334,0.25,862175.3333333334,208977.16666666666,15.833333333333334,16.0,12,0,Mid,"Targeted training, quote-to-sale improvement",-2.544707772666385,-1.3512147642467414,False
0a419b45,411,19.571428571428573,0.14285714285714285,956264.5238095238,200023.61904761905,14.619047619047619,17.476190476190474,21,2,High,"Retention incentives, high-value leads",-0.7389900576635094,0.7423205194731531,False
0a75b64a,451,21.476190476190474,0.0,926222.0,211667.04761904763,16.714285714285715,16.333333333333332,21,2,High,"Retention incentives, high-value leads",0.12353921906336005,0.8373025347929636,False
0aaac9a7,438,20.857142857142858,0.047619047619047616,1217477.9047619049,236879.7619047619,15.19047619047619,17.523809523809526,21,2,High,"Retention incentives, high-value leads",0.8291393197135987,0.645335199984889,False
0aacb7a8,89,22.25,0.0,1140682.0,156599.0,14.0,18.5,4,1,Low,"Mentoring, onboarding refreshers",0.35397610151322206,-3.2536120771754895,False
0acddc02,167,23.857142857142858,0.0,1367607.7142857143,251337.42857142858,16.714285714285715,18.714285714285715,7,1,Low,"Mentoring, onboarding refreshers",2.165217449976013,-2.4985487562330246,False
0af61868,232,19.333333333333332,0.16666666666666666,1059704.1666666667,227458.0,15.833333333333334,17.416666666666668,12,0,Mid,"Targeted training, quote-to-sale improvement",-0.5376346196983203,-1.2693785172877134,False
0b1be2b8,450,21.428571428571427,0.14285714285714285,1406658.5238095238,339937.1904761905,16.0,19.61904761904762,21,2,High,"Retention incentives, high-value leads",2.30927638960527,0.7897098068446121,False
0b1d7054,395,18.80952380952381,0.14285714285714285,1206758.4761904762,292303.61904761905,16.333333333333332,17.142857142857142,21,2,High,"Retention incentives, high-value leads",0.39391383093676335,0.5429545286856826,False
0b51084d,365,17.38095238095238,0.14285714285714285,1013288.7142857143,212229.04761904763,13.952380952380953,14.857142857142858,21,0,Mid,"Targeted training, quote-to-sale improvement",-1.5888542787685402,0.3020104803163864,False
0b5ebeaa,95,23.75,0.0,1456655.0,283956.75,13.25,17.75,4,1,Low,"Mentoring, onboarding refreshers",2.184574605096845,-3.579867003629088,False
0bae2f2d,400,20.0,0.05,804249.25,153814.3,14.6,16.5,20,2,High,"Retention incentives, high-value leads",-1.2068428437024579,0.5046386850580739,False
0bb2468d,250,20.833333333333332,0.16666666666666666,1023956.0833333334,281817.9166666667,14.75,20.25,12,1,Low,"Mentoring, onboarding refreshers",0.7082276480063968,-1.1630233149909739,False
0c0e65a4,133,22.166666666666668,0.0,1111983.6666666667,186010.83333333334,12.0,17.333333333333332,6,1,Low,"Mentoring, onboarding refreshers",0.21049084638337714,-2.975184791191853,False
0c22f517,427,20.333333333333332,0.047619047619047616,1122351.1904761905,235349.38095238095,14.619047619047619,16.238095238095237,21,2,High,"Retention incentives, high-value leads",0.1916915925474966,0.533722927235265,False
0d045ee9,486,23.142857142857142,0.047619047619047616,1289682.238095238,289460.85714285716,15.857142857142858,19.80952380952381,21,2,High,"Retention incentives, high-value leads",2.4360159064344926,0.9550339528102914,False
0db1f74b,376,17.904761904761905,0.19047619047619047,1020422.7142857143,246667.7619047619,14.619047619047619,17.761904761904763,21,2,High,"Retention incentives, high-value leads",-0.7119377984193695,0.5559522850933737,False
0e0c2212,356,16.952380952380953,0.23809523809523808,872732.0476190476,259947.2857142857,15.571428571428571,18.952380952380953,21,0,Mid,"Targeted training, quote-to-sale improvement",-1.0251212272137442,0.6731411970261706,False
0e123beb,390,18.571428571428573,0.14285714285714285,897842.8571428572,209950.61904761905,13.714285714285714,17.333333333333332,21,2,High,"Retention incentives, high-value leads",-1.0727823124179516,0.5808708234659857,False
0e34a568,220,16.923076923076923,0.07692307692307693,544639.3846153846,113705.07692307692,15.76923076923077,12.923076923076923,13,0,Mid,"Targeted training, quote-to-sale improvement",-3.6910940143383937,-1.1987295403803384,False
0e4280de,449,21.38095238095238,0.09523809523809523,1101819.142857143,236765.0,15.142857142857142,18.666666666666668,21,2,High,"Retention incentives, high-value leads",0.7437365328575263,0.8641150641162979,False
0e4770a7,436,20.761904761904763,0.09523809523809523,841021.5238095238,195650.66666666666,13.0,18.19047619047619,21,2,High,"Retention incentives, high-value leads",-0.4895133915229828,0.7928502433993212,False
0e4db07d,403,19.19047619047619,0.14285714285714285,817573.8571428572,221804.80952380953,16.285714285714285,18.19047619047619,21,2,High,"Retention incentives, high-value leads",-0.7194289603688453,0.8678293214536592,False
0f111c9b,143,23.833333333333332,0.0,1440098.1666666667,274610.8333333333,15.0,20.166666666666668,6,1,Low,"Mentoring, onboarding refreshers",2.7293311759468497,-2.845095430060647,False
0f4994af,43,21.5,0.0,1660904.0,438787.0,17.5,18.5,2,1,Low,"Mentoring, onboarding refreshers",3.7493121421346145,-4.053010379455539,False
0f4c38b4,377,17.952380952380953,0.14285714285714285,852673.1904761905,199926.95238095237,15.333333333333334,15.952380952380953,21,0,Mid,"Targeted training, quote-to-sale improvement",-1.6171941750555068,0.5803124091364164,False
0f6f67b0,417,19.857142857142858,0.09523809523809523,918091.380952381,199111.90476190476,13.952380952380953,16.476190476190474,21,2,High,"Retention incentives, high-value leads",-0.8211418213476616,0.6389655432467063,False
